ID. Productor:;Provincia;Localidad;CUENCA LECHERA;SUPERFICIE TOTAL TAMBO (Has);Sup VACA ADULTA (Has);Carga VT;Kg MS concentrado / VO / dia - promedio anual;% VACA ORD.;VO;VS;VT;LCG;PV VO;CMS;Sistema alimentación;CMS pastura;lts;kg/d;%GB;%PC;% PV;LCGP;Terneras recría (< 12 meses);Terneros/as guachera;total rianza+recria;Sup a trabajar;RECRIA         (Has);"AGRICULTURA
(Has)";"GANADERIA
(Has)";SUPERFICIE TOTAL TAMBO (Has);Energia CO2 TNCO2eq / año;Fertilizante N2O TNCO2eq / año;Animales CH4 TNCO2eq / año;Animales N2O TNCO2eq / año;Fertilizante (propio) N2O TNCO2eq / año;Residuos (propio) N2O TNCO2eq / año;Total materias primas NCO2eq / año;Fermentacion entérica Recría TNCO2eq / año;CH4 extretas recria TNCO2eq / año;N2O excretas recría TNCO2eq / año;Fermentación enterica tambo CH4 TNCO2eq / año;Manejo Estiercol CH4 TNCO2eq / año;Manejo estiercol N2O TNCO2eq / año;Estiercol en pastura CH4 TNCO2eq / año;Estiercol en pasturas N2O TNCO2eq / año;Energía CO2 TNCO2eq / año;Total Tambo TNCO2eq / año;Total establecimiento TNCO2eq / año;Total establecimeinto KgCO2eq / Lt;Factor de allocacion %;Total leche KgCO2eq / Lt
24;Santa Fe;Sto Dgo.;CENTRAL SANTA FE;90;57;1.11;5;0.8267716535;53;11;64;16.59;650;18.43;sep;7.72;16.38;16.9;3.88;3.33;3.17;16.47;20;18;38;82;25;0;0;90;15.39;22.42;58;24.61;1.2;32;50.68;57.99;0.01;24.61;186.76;0.18;0.35;1.54;5.32;11.67;205.83;256.51;0.81;0.83;0.67
25;Santa Fe;Tacurales;CENTRAL SANTA FE;138;135;2.75;7;0.845433003;314;58;372;22.14;650;20.48;sep;5.27;23.41;24.16;3.44;3.14;2.99;21.91;0;57;57;135;0;0;0;138;19.89;28.97;116.82;22.17;25.94;75;145.04;116.13;0.69;22.17;1249.18;11.96;2.83;8.66;28.97;70.23;1371.84;1516.88;0.6;0.94;0.57
26;Santa Fe;Emilia;CENTRAL SANTA FE;474;75;1.57;5.3;0.8262711864;98;21;119;19.08;650;19.35;PMR;6.39;19.78;20.42;3.56;3.16;3.01;18.85;18;16;34;83;8;209;180;474;8.91;6.08;54.78;16.46;30.87;42;56.18;54.77;0.01;16.46;362.79;9.92;1.37;2.49;9.78;10.31;396.66;452.85;0.67;0.97;0.66
27;Santa Fe;Marini;CENTRAL SANTA FE;129;89;1.46;7.2;0.8269230769;108;23;131;22.03;650;20.44;sep;2.04;22.77;23.49;3.58;3.14;2.99;21.72;13;15;28;101;12;24;0;129;26.32;34.79;60.1;25.77;26.42;57;123.87;60.1;0;25.77;416.63;16.13;1.44;2.56;10.49;36.35;483.6;607.48;0.71;0.94;0.67
28;Santa Fe;San Jorge;CENTRAL SANTA FE;65;58.5;0.98;4;0.7913043478;46;12;58;19.79;650;19.61;PMR;7.99;20.8;21.47;3.48;3.12;2.96;19.53;18;31;49;60;1;0;0;65;11.24;16.37;60.75;18.41;3.46;31;49.61;60.74;0.01;18.41;177.11;18.39;2.46;1.46;5.89;18.53;223.83;273.44;0.84;0.96;0.81
29;Santa Fe;Josefina;CENTRAL SANTA FE;130;96;1.7;7;0.7828746177;128;36;164;20.35;650;19.82;PMR;7.81;21.52;22.21;3.44;3.08;2.93;20.04;73;56;129;116;20;0;0;130;21.43;28.09;178.5;62.06;19.21;64;129.12;178.47;0.03;62.06;471.4;6.01;1.57;2.97;18.3;60.39;560.65;689.77;0.74;0.9;0.67
30;Santa Fe;Villa Trinidad;CENTRAL SANTA FE;183;180;1.6;8;0.8856152513;256;33;289;8.99;650;15.64;sep;0.86;21.78;22.48;0;3.18;3.02;10.96;0;60;60;180;0;0;0;183;23.54;34.29;267.02;35.98;13.21;93;141.59;265.13;1.89;35.98;733.95;12.69;1.79;4.36;16.43;70.56;839.78;981.37;0.96;0.79;0.76
31;Santa Fe;Bauer y Sigel;CENTRAL SANTA FE;70;40;1.95;3.9;0.7692307692;60;18;78;13.99;650;17.48;sep;13.95;15.16;15.64;3.3;3.13;2.98;13.9;0;15;15;58;18;12;0;70;10.72;18.78;21.47;7.44;0;26;55.88;21.46;0;7.44;194.03;13.3;1.55;1.24;8.68;26.38;245.18;301.06;0.99;0.85;0.84
32;Santa Fe;San Antonio;CENTRAL SANTA FE;127;98;0.77;3.8;0.8410596026;64;12;76;16.37;650;18.36;sep;6.62;17.26;17.81;3.46;3.12;2.96;16.17;22;14;36;99;1;27;0;127;11.82;19.87;66.03;24.26;0.1;51;40.25;66.03;0.01;24.26;227.14;24.4;2.1;1.63;5.77;8.46;269.5;309.75;0.83;1;0.83
33;Santa Fe;Ataliva;CENTRAL SANTA FE;275;150;2.07;9.5;0.8064516129;250;60;310;22.32;650;20.54;PMR;6.61;23.51;24.26;3.47;3.25;3.08;22.26;110;50;160;265;115;0;0;275;29.46;58.58;431.18;108.66;39.71;81;185.56;430.47;0.71;108.66;940.58;6.36;2.13;6.54;29.45;57.81;1042.87;1228.43;0.6;0.94;0.57
